id	Author	Quotes	Queries	Key_Words
412c53a2-4cbe-444a-8daa-1191a3888712	Ali ibne Abi Talib	Possibilities and impossibilities are merely the concepts of human mind. In reality, nothing is impossible.	It is impossible || I can’t do it || It is not possible || it’s very hard	impossible
55c9b10c-8721-4e88-851e-fc1773b6fdc0	Ali ibne Abi Talib	Life is more strict than a teacher. A teacher teaches and then takes an exam. Life gives an exam and then teaches a lesson	What is life?	tough || mistake || lesson
c0442d4f-0740-442a-8f36-fb8b4741e18c	Ali ibne Abi Talib	Through patience great things are accomplished	I am losing my patience || I can’t wait || it is taking too long	patience
9eb4306b-4504-4b05-946f-c8f6991f2385	Ali ibne Abi Talib	Do not let your difficulties fill you with anxiety, after all, it is only in the darkest nights that the stars shine more brilliantly	I am having anxiety || I am having difficulties || I have low morale	anxiety || difficulty
f7ab181c-2251-4752-82bf-2dc7180c007e	Ali ibne Abi Talib	Let go of anything that brings you stress and sorrow	I am sad	sorrow || let go
7c35eac2-7760-4338-8ed4-56e96592b8da	Ali ibne Abi Talib	Do not be a slave to others when God has created you free	My boss is abusive	freedom || slavery
e22edc04-96d4-4019-b469-28ec30eb8f33	Ali ibne Abi Talib	A wise man relies on his efforts and a fool relies on his hopes	I am hopeful || I hope one day it will happen	hope || fool || efforts
49161fad-ffac-48d2-b990-1dd13835588b	Ali ibne Abi Talib	The best revenge is to improve yourself	I want to take revenge || I want to proof them	revenge
12d43824-1232-4562-9a61-bae6ceab9b05	Carl Sagan	Somewhere, something incredible is waiting to be known.	I don’t understand myself || I want to know myself || I want to discover || discover myself	know || incredible || explore
b5f010b5-7ee8-4741-9266-931b8574ba87	Carl Sagan	We're made of star stuff. We are a way for the cosmos to know itself.	Who am I? || What are we made of? || I am having existential crisis || I want to experience life || Experience the universe	star || cosmos
0bffa07e-a69f-4a77-89a7-6439a3277052	Carl Sagan	We are like butterflies who flutter for a day and think it is forever.	I am sad || Life is short || It seems like forever || I am procrastinating	forever || time
517585c3-c8d0-4059-9ca8-3c36eff37aa5	Carl Sagan	Every one of us is, in the cosmic perspective, precious. If a human disagrees with you, let him live. In a hundred billion galaxies, you will not find another.	I don’t want to argue || I don’t agree with you || People don’t understand me	disagree
b5d3087f-d6d4-409a-b8a3-886ae41853c2	Carl Sagan	The nitrogen in our DNA, the calcium in our teeth, the iron in our blood, the carbon in our apple pies was made in the interiors of collapsing stars. We are made of star stuff.	Who am I? || What are we made of? || I am having existential crisis	star
7ec58456-5203-488a-a2a7-68d47335a8bd	Carl Sagan	Science is not only compatible with spirituality; it is a profound source of spirituality.	I want to be spiritual || I don’t believe in spirituality || I want to be spiritual but I am not religious ||I feel spirituality with science || I can be irreligious and spiritual	athiest || spirituality
9d4e4741-7b65-4018-bbc4-15df0724b0d7	Carl Sagan	Who is more humble? The scientist who looks at the universe with an open mind and accepts whatever the universe has to teach us, or somebody who says everything in this book must be considered the literal truth and never mind the fallibility of all the human beings involved?	Religions are fraud || I prefer science over religion || I don’t believe in religion || I love my religion || Religions cause violence	religion || agnostic || athiest
efcc857a-3843-4148-bf57-3ddb20eb259a	Carl Sagan	It pays to keep an open mind, but not so open your brains fall out.	I want to think freely || I want to be very liberal || I am very open minded	liberal || open minded || free thinking
d56fee7c-318c-4097-91e6-2caf1d4c5a6f	Carl Sagan	The universe is a pretty big place. If it’s just us, seems like an awful waste of space.	Are there aliens? || are we alone in the universe?	aliens
4098475d-7e70-4639-985b-9c6e2c9770d1	Carl Sagan	Extinction is the rule. Survival is the exception.	I won’t survive || I want to survive || How can I survive? || I will die	survive || extinct
5466883b-da43-4bee-84af-db9d10fe5de5	Carl Sagan	Our planet is a mote of dust suspended in a sunbeam. It is a very small stage in a vast cosmic arena. Think of the endless cruelties visited by the inhabitants of one corner of this pixel on the scarcely distinguishable inhabitants of some other corner, how frequent their misunderstandings, how eager they are to kill one another, how fervent their hatreds. Think of the rivers of blood spilled by all those generals and emperors so that, in glory and triumph, they could become the momentary masters of a fraction of a dot.	Life is short || Tell me a good thought || Why people are cruel? || I am having existential crisis || How small we are? || How insignificant we are?	war || ego
86643fad-857a-4161-beb4-76f6547c6d4a	Einstein	Insanity: doing the same thing over and over again and expecting different results.	I make mistakes again and again || I don’t learn from my mistakes	again || result || change
bb4597a8-fd31-4929-8137-ccc402d16ac7	Einstein	Imagination is more important than knowledge.	I want knowledge || It’s hard to imagine || How to be creative? || I don’t believe in fiction || I believe in science and not in religion || I have a dream	imagination || knowledge
64aa57e8-fbd1-481b-9e24-52f6d3f247d9	Einstein	Imagination is everything. It is the preview of life's coming attractions.	I don’t have a dream || I have a dream || How to get out of this situation? || I want to do wonders || I am imaginative || I want to be creative || How to have a vision?	imagination || attraction
25dfb830-51de-4b64-a401-79ea4d4b857a	Einstein	In the middle of difficulty lies opportunity.	I am in difficulty || How to find opportunity? || Times are tough || I am struggling	difficult || opportunity
d2bc3466-ed8c-4e18-911d-de7ca82cb00a	Einstein	If you can't explain it simply, you don't understand it well enough.	I don’t know how to explain || I cannot explain || It is hard to explain	explain
7b3f2d61-f601-48e8-ad75-5ebb196ab208	Einstein	No problem can be solved from the same level of consciousness that created it.	I want to solve my problem || Please solve my problem || I want to get out of the situation || I have a problem	solve || problem
0e52e55d-28e3-4d1e-89fa-baff448d2c02	Einstein	Try not to become a man of success, but rather try to become a man of value.	I want to be successful	success
02b1233a-df9e-4385-8134-77dde333e06b	Einstein	Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.	People are stupid || You are stupid	stupid
b3431ebf-0abe-4e12-91ec-7a0f7e530179	Einstein	Unthinking respect for authority is the greatest enemy of truth	I am a rebel	authority
26b506b8-3d0a-4efd-a9db-8f5619c8e032	Einstein	Great spirits have always encountered violent opposition from mediocre minds	People don’t believe in me || I have so much criticism || Everyone opposes my idea	critics || opposition
75401808-b0d8-4eff-91e0-45f79292952c	Einstein	The important thing is to not stop questioning. Curiosity has its own reason for existing	I have existential crisis	curiosity || questioning
1acbab4f-05d7-4373-82be-e98558aa123b	Einstein	Science can flourish only in an atmosphere of free speech	Religion is anti-science	athiest
64153c0f-a0a8-41fb-b1ea-c419b14e92d5	Einstein	Life is like riding a bicycle. To keep your balance you must keep moving	I want to move on || I want to let go	balance || keep moving
237305a1-02fe-44bd-b83d-c8b3e59cb011	George S. Clason	As for time, all men have it in abundance.	I don’t have time || time is short || time passes to quickly	time
01203b4f-d545-460d-ae2b-152156e252a4	George S. Clason	I found the road to wealth when I decided that a part of all I earned was mine to keep. And so will you.	How to be rich || I am broke || how to make money	weatlh
35a149ca-cff7-45f7-85f2-c5389d4abce1	George S. Clason	If thou desire to help thy friend, do so in a way that will not bring thy friend’s burdens upon thyself.	I am nice to people || I can’t say no to people || People use me	
